log_id,timestamp,user_id,user_name,user_role,action,table_affected,record_id,old_value,new_value,ip_address,device_info,status,error_message
AL-000000,2023-07-20 10:27:00,USER-001,Rajesh Kumar,Safety Officer,Reject,inspections,REC-06492,old_38,new_87,192.168.248.204,Windows 10,Success,
AL-000001,2023-04-04 05:43:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_7,new_70,192.168.88.251,Mac OS,Success,
AL-000002,2023-04-19 08:35:00,USER-002,Sita Devi,Environmental Officer,Create,grievances,REC-02308,old_73,new_34,192.168.38.60,Windows 10,Success,
AL-000003,2023-04-16 14:59:00,USER-002,Sita Devi,Environmental Officer,Delete,production_monthly,REC-05973,old_3,new_76,192.168.190.125,Windows 10,Success,
AL-000004,2023-03-23 12:35:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_23,new_67,192.168.4.49,Windows 10,Success,
AL-000005,2023-05-08 10:30:00,USER-003,Amit Patel,Labour Inspector,Create,environmental_readings,REC-02708,old_84,new_36,192.168.174.53,Mac OS,Success,
AL-000006,2023-01-15 23:30:00,USER-001,Rajesh Kumar,Safety Officer,Reject,environmental_readings,REC-08455,old_39,new_40,192.168.50.100,Linux,Success,
AL-000007,2023-07-03 00:15:00,USER-001,Rajesh Kumar,Safety Officer,Sync,equipment,REC-05142,old_12,new_82,192.168.228.72,Windows 10,Success,
AL-000008,2023-12-24 01:52:00,USER-003,Amit Patel,Labour Inspector,Create,production_monthly,REC-00878,old_66,new_61,192.168.24.202,Windows 10,Success,
AL-000009,2023-01-02 17:39:00,USER-002,Sita Devi,Environmental Officer,Reject,worker_attendance,REC-09543,old_19,new_39,192.168.76.185,Windows 10,Success,
AL-000010,2023-02-28 13:02:00,USER-002,Sita Devi,Environmental Officer,Create,corrective_actions,REC-03236,old_58,new_56,192.168.17.98,Windows 10,Success,
AL-000011,2023-04-04 03:23:00,USER-003,Amit Patel,Labour Inspector,Update,inspections,REC-09872,old_52,new_77,192.168.209.155,Linux,Success,
AL-000012,2023-03-13 12:46:00,USER-003,Amit Patel,Labour Inspector,Sync,mine_master,REC-06028,old_7,new_74,192.168.84.203,Linux,Success,
AL-000013,2023-03-25 12:20:00,USER-002,Sita Devi,Environmental Officer,Create,equipment,REC-05557,old_18,new_17,192.168.247.185,Mac OS,Success,
AL-000014,2023-04-19 23:33:00,USER-003,Amit Patel,Labour Inspector,Sync,contractors,REC-00715,old_94,new_32,192.168.217.109,Linux,Success,
AL-000015,2023-12-30 23:34:00,USER-001,Rajesh Kumar,Safety Officer,Reject,worker_attendance,REC-09395,old_49,new_80,192.168.15.194,Windows 10,Success,
AL-000016,2023-03-02 01:32:00,USER-003,Amit Patel,Labour Inspector,Sync,mine_master,REC-06945,old_1,new_75,192.168.247.39,Windows 10,Failed,Database timeout
AL-000017,2023-10-23 05:34:00,USER-001,Rajesh Kumar,Safety Officer,Sync,mine_master,REC-04626,old_57,new_98,192.168.1.75,Linux,Success,
AL-000018,2023-04-29 16:43:00,USER-003,Amit Patel,Labour Inspector,Create,inspections,REC-03912,old_42,new_86,192.168.207.253,Windows 10,Failed,Invalid ID
AL-000019,2023-08-11 07:37:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_13,new_44,192.168.235.171,Linux,Success,
AL-000020,2023-12-10 16:26:00,USER-003,Amit Patel,Labour Inspector,Sync,grievances,REC-07484,old_56,new_49,192.168.188.30,Mac OS,Success,
AL-000021,2023-03-15 13:57:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_12,new_69,192.168.22.108,Mac OS,Success,
AL-000022,2023-07-25 00:36:00,USER-003,Amit Patel,Labour Inspector,Update,corrective_actions,REC-04816,old_12,new_19,192.168.167.135,Windows 10,Success,
AL-000023,2023-04-18 13:10:00,USER-002,Sita Devi,Environmental Officer,Sync,worker_attendance,REC-02132,old_29,new_94,192.168.38.107,Linux,Success,
AL-000024,2023-07-28 02:23:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_57,new_72,192.168.177.253,Windows 10,Success,
AL-000025,2023-07-24 23:59:00,USER-002,Sita Devi,Environmental Officer,Delete,corrective_actions,REC-05433,old_99,new_92,192.168.59.152,Windows 10,Success,
AL-000026,2023-05-14 12:13:00,USER-003,Amit Patel,Labour Inspector,Create,corrective_actions,REC-01285,old_18,new_95,192.168.52.252,Windows 10,Success,
AL-000027,2023-08-09 08:28:00,USER-003,Amit Patel,Labour Inspector,Update,corrective_actions,REC-03241,old_75,new_8,192.168.107.243,Mac OS,Success,
AL-000028,2023-09-17 05:00:00,USER-003,Amit Patel,Labour Inspector,Update,mine_master,REC-06297,old_61,new_23,192.168.143.139,Windows 10,Success,
AL-000029,2023-02-13 20:25:00,USER-003,Amit Patel,Labour Inspector,Sync,inspections,REC-00221,old_91,new_79,192.168.146.95,Mac OS,Success,
AL-000030,2023-02-25 12:00:00,USER-003,Amit Patel,Labour Inspector,Delete,environmental_readings,REC-05480,old_54,new_65,192.168.252.232,Windows 10,Success,
AL-000031,2023-07-08 18:46:00,USER-001,Rajesh Kumar,Safety Officer,Reject,documents,REC-03065,old_11,new_86,192.168.28.67,Windows 10,Success,
AL-000032,2023-04-03 23:44:00,USER-001,Rajesh Kumar,Safety Officer,Update,environmental_readings,REC-02342,old_36,new_8,192.168.74.13,Linux,Success,
AL-000033,2023-09-22 03:44:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_3,new_72,192.168.112.56,Windows 10,Success,
AL-000034,2023-04-17 23:20:00,USER-002,Sita Devi,Environmental Officer,Sync,mine_master,REC-01897,old_12,new_15,192.168.142.75,Windows 10,Success,
AL-000035,2023-07-16 17:02:00,USER-002,Sita Devi,Environmental Officer,Approve,contractors,REC-08689,old_100,new_15,192.168.48.38,Windows 10,Success,
AL-000036,2023-04-09 23:49:00,USER-002,Sita Devi,Environmental Officer,Create,inspections,REC-00166,old_77,new_50,192.168.28.65,Linux,Success,
AL-000037,2023-06-18 10:11:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_51,new_91,192.168.157.86,Windows 10,Success,
AL-000038,2023-10-22 23:58:00,USER-001,Rajesh Kumar,Safety Officer,Reject,corrective_actions,REC-03054,old_87,new_1,192.168.38.251,Linux,Success,
AL-000039,2023-06-26 07:13:00,USER-002,Sita Devi,Environmental Officer,Update,contractors,REC-06674,old_60,new_62,192.168.120.69,Mac OS,Success,
AL-000040,2023-09-09 00:22:00,USER-003,Amit Patel,Labour Inspector,Create,mine_master,REC-06042,old_84,new_24,192.168.182.62,Windows 10,Success,
AL-000041,2023-11-11 05:48:00,USER-003,Amit Patel,Labour Inspector,Sync,production_monthly,REC-09724,old_50,new_34,192.168.40.220,Windows 10,Success,
AL-000042,2023-09-02 09:54:00,USER-001,Rajesh Kumar,Safety Officer,Update,incidents,REC-04341,old_86,new_18,192.168.184.10,Mac OS,Failed,Invalid ID
AL-000043,2023-08-03 01:11:00,USER-002,Sita Devi,Environmental Officer,Reject,corrective_actions,REC-00904,old_1,new_35,192.168.251.144,Linux,Success,
AL-000044,2023-08-23 13:00:00,USER-001,Rajesh Kumar,Safety Officer,Reject,grievances,REC-09088,old_83,new_27,192.168.22.129,Mac OS,Success,
AL-000045,2023-09-24 06:35:00,USER-001,Rajesh Kumar,Safety Officer,Reject,mine_master,REC-04381,old_41,new_93,192.168.76.183,Mac OS,Success,
AL-000046,2023-03-02 21:44:00,USER-003,Amit Patel,Labour Inspector,Sync,environmental_readings,REC-07406,old_85,new_44,192.168.121.161,Mac OS,Success,
AL-000047,2023-03-31 08:23:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_11,new_92,192.168.173.149,Mac OS,Success,
AL-000048,2023-10-04 18:41:00,USER-003,Amit Patel,Labour Inspector,Sync,environmental_readings,REC-03429,old_93,new_77,192.168.113.242,Linux,Success,
AL-000049,2023-07-06 21:20:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_5,new_40,192.168.219.61,Mac OS,Success,
AL-000050,2023-06-25 16:33:00,USER-001,Rajesh Kumar,Safety Officer,Update,mine_master,REC-01798,old_46,new_55,192.168.17.36,Linux,Success,
AL-000051,2023-03-25 19:15:00,USER-002,Sita Devi,Environmental Officer,Sync,documents,REC-08341,old_41,new_100,192.168.26.197,Linux,Success,
AL-000052,2023-01-12 23:05:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_19,new_70,192.168.219.247,Mac OS,Success,
AL-000053,2023-12-23 10:46:00,USER-001,Rajesh Kumar,Safety Officer,Create,inspections,REC-00322,old_35,new_72,192.168.236.170,Linux,Success,
AL-000054,2023-08-30 14:02:00,USER-001,Rajesh Kumar,Safety Officer,Create,equipment,REC-05929,old_10,new_41,192.168.40.209,Linux,Success,
AL-000055,2023-08-10 16:55:00,USER-003,Amit Patel,Labour Inspector,Sync,corrective_actions,REC-06414,old_13,new_72,192.168.41.196,Windows 10,Success,
AL-000056,2023-02-07 08:40:00,USER-001,Rajesh Kumar,Safety Officer,Delete,production_monthly,REC-05467,old_84,new_8,192.168.107.27,Mac OS,Success,
AL-000057,2023-02-12 10:20:00,USER-001,Rajesh Kumar,Safety Officer,Sync,incidents,REC-09462,old_89,new_20,192.168.240.104,Linux,Success,
AL-000058,2023-12-14 17:52:00,USER-002,Sita Devi,Environmental Officer,Approve,documents,REC-09738,old_29,new_66,192.168.200.252,Windows 10,Success,
AL-000059,2023-04-16 04:57:00,USER-002,Sita Devi,Environmental Officer,Delete,environmental_readings,REC-08371,old_2,new_55,192.168.145.139,Windows 10,Success,
AL-000060,2023-07-19 14:10:00,USER-002,Sita Devi,Environmental Officer,Create,incidents,REC-07670,old_67,new_97,192.168.36.219,Linux,Success,
AL-000061,2023-12-03 02:59:00,USER-002,Sita Devi,Environmental Officer,Reject,corrective_actions,REC-04708,old_31,new_32,192.168.79.34,Linux,Success,
AL-000062,2023-12-05 23:59:00,USER-001,Rajesh Kumar,Safety Officer,Delete,corrective_actions,REC-02288,old_71,new_82,192.168.176.19,Linux,Success,
AL-000063,2023-11-01 01:32:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_93,new_22,192.168.68.104,Linux,Success,
